NCIC Offense Code,Description of Crime,Type of Offense Code  V=violent  D=drug-related  Blank = nonviolent or not drug related
2310,LARC - FROM MAILS,
2311,LARC - FROM BANKING-TYPE INST,
2312,LARC - FROM INTERSTATE SHIPMENT,
2313,OBSTRUCT CORRESPONDENCE,
2314,THEFT OF US GOVT PROP,
2315,LARC ON US GOVT RESERV,
2316,LARC - POSTAL,
2399,LARCENY,
2401,THEFT AND SALE VEH,
2402,THEFT AND STRIP VEH,
2403,THEFT AND USE VEH OTHER CRIME,
2404,VEHICLE THEFT,
2405,THEFT VEH BY BAILEE,
2406,RECEIV STOLEN VEH,
2407,STRIP STOLEN VEH,
2408,POSSESS STOLEN VEHICLE,
2409,INTERSTATE TRANSP STOLEN VEH,
2410,AIRCRAFT THEFT,
2411,UNAUTH USE OF VEH,
2499,STOLEN VEHICLE,
2501,FORGERY OF CHECKS,
2502,FORGERY OF – (IDENTIFY OBJECT),
2503,COUNTERFEITING OF – (IDENTIFY OBJECT),
2504,PASS FORGED – (IDENTIFY OBJECT),
2505,PASS COUNTERFEITED – (IDENTIFY OBJECT),
2506,POSSESS FORGED – (IDENTIFY OBJECT),
2507,POSSESS COUNTERFEITED – (IDENTIFY OBJECT),
2508,POSSESS TOOLS FOR FORGERY/COUNTERFEITING,
2509,TRANSPORT FORGED - (IDENTIFY OBJECT),
2510,TRANSPORT COUNTERFEITED - (IDENTIFY OBJECT),
2511,TRANSPORT TOOLS FOR FORGERY/COUNTERFEITING,
2589,FORGERY,
2599,COUNTERFEITING,​
2601,FRAUD - CONFIDENCE GAME,
2602,FRAUD-SWINDLE,
2603,MAIL FRAUD,
2604,FRAUD – IMPERSON,
2605,FRAUD - ILLEG USE CREDIT CARDS,
2606,FRAUD - INSUFF FUNDS CHECK,
2607,FRAUD - FALSE STATEMENT,
2608,FRAUD – BY WIRE,
2609,FRAUD AND ABUSE - COMPUTER,
2699,FRAUD,
2701,EMBEZZLE - BUSINESS PROP,
2702,EMBEZZLE - INTERSTATE SHIPMENT,
2703,EMBEZZLE - BANKING-TYPE INST,
2704,EMBEZZLE - PUBLIC PROP,
2705,EMBEZZLE - POSTAL,
2799,EMBEZZLE,
2801,SALE OF STOLEN PROP,
2802,TRANSPORT INTERSTATE STOLEN PROP,
2803,RECEIVE STOLEN PROP,
2804,POSSESS STOLEN PROP,
2805,CONCEAL STOLEN PROP,
2899,STOLEN PROPERTY,
2901,DAMAGE PROP BUSINESS,
2902,DAMAGE PROP - PRIVATE,
2903,DAMAGE PROP --PUBLIC,
2904,DAMAGE PROP - BUSINESS-WITH EXPLOSIVE,
2905,DAMAGE PROP - PRIVATE-WITH EXPLOSIVE,
2906,DAMAGE PROP PUBLIC-WITH EXPLOSIVE,
2999,DAMAGE PROPERTY,
3501,HALLUCINOGEN - MFR,D
3502,HALLUCINOGEN - DISTRIB,D
3503,HALLUCINOGEN - SELL,D
3504,HALLUCINOGEN - POSSESS,D
3505,HALLUCINOGEN,D
3510,HEROIN - SELL,D
3511,HEROIN - SMUGGL,D
3512,HEROIN - POSSESS,D
3513,HEROIN,D
3520,OPIUM OR DERIV - SELL,D
3521,OPIUM OR DERIV SMUGGL,D
3522,OPIUM OR -DERIV - POSSESS,D
3523,OPIUM OR DERIV,D
3530,COCAINE - SELL,D
3531,COCAINE - SMUGGL,D
3532,COCAINE - POSSESS,D
3533,COCAINE,D
3540,SYNTH NARCOTIC - SELL,D
3541,SYNTH NARCOTIC - SMUGGL,D
3542,SYNTH NARCOTIC - POSSESS,D
3543,SYNTH NARCOTIC,D
3550,NARCOTIC EQUIP POSSESS,D
3560,MARIJUANA - SELL,D
3561,MARIJUANA -SMUGL,D
3562,MARIJUANA POSSESS,D
3563,MARIJUANA PRODUCING,D
3564,MARIJUANA,D
3570,AMPHETAMINE - MFR,D
3571,AMPHETAMINE SELL,D
3572,AMPHETAMINE POSSESS,D
3573,AMPHETAMINE,D
3580,BARBITURATE - MFR,D
3581,BARBITURATE - SELL,D
3582,BARBITURATE - POSSESS,D
3583,BARBITURATE,D
3599,DANGEROUS DRUGS,D
3601,SEX OFFENSE - AGAINST CHILD-FONDLING,
3602,HOMOSEXUAL ACT WITH GIRL,
3603,HOMOSEXUAL ACT WITH BOY,
3604,INCEST WITH MINOR,
3605,INDECENT EXPOSURE (TO MINORS AND ADULTS),
3606,BESTIALITY,
3607,INCEST WITH ADULT,
3608,SEDUCTION OF ADULT,
3609,HOMOSEXUAL ACT WITH WOMAN,
3610,HOMOSEXUAL ACT WITH MAN,
3611,PEEPING TOM,
3612,FAILURE TO REGISTER AS A SEX OFFENDER,
3613,SEX OFFENDER REGISTRATION VIOLATION,
3614,INDECENT EXPOSURE TO MINOR,V
3615,INDECENT EXPOSURE TO ADULT,​
3616,LEWD OR LASCIVIOUS ACTS WITH MINOR,​
3617,SEXUALLY VIOLATE HUMAN REMAINS/NECOROPHILIA,​
3618,MOLESTATION OF MINOR,​
3619,VOYEURISM,​
3620,SEX OFFENSE - ELDERLY,​
3621,SEX OFFENSE - DISABLED,​
3622,TRANSPORT INTERSTATE FOR SEXUAL ACTIVITY,​
3623,INDECENT LIBERTIES,
3699,SEX OFFENSE,
3700,OBSCENE MATERIAL,
3701,OBSCENE MATERIAL – MFR,
3702,OBSCENE MATERIAL – SELL,
3703,OBSCENE MATERIAL – MAILING,
3704,OBSCENE MATERIAL – POSSESS,
3705,OBSCENE MATERIAL – DISTRIB,
3706,OBSCENE MATERIAL - TRANSPORT,
3707,OBSCENE COMMUNICATION,
3799,OBSCENITY,
3801,NEGLECT FAMILY,
3802,CRUELTY TOWARD CHILD,
3803,CRUELTY TOWARD WIFE,
3804,BIGAMY,
3805,CONTRIB DELINQ MINOR,
3806,NEGLECT CHILD,
3807,NONPAYMENT OF ALIMONY,
3808,NONSUPPORT OF PARENT,
3809,CRUELTY TOWARD ELDERLY,
3810,CRUELTY TOWARD DISABLED,
3811,NEGLECT ELDERLY,
3812,NEGLECT DISABLED,
3899,FAMILY OFFENSE,
3901,BOOKMAKING,
3902,CARD GAME - OPERATING,
3904,CARD GAME,
3905,DICE GAME - OPERATING,
3907,DICE GAME,
3908,GAMBLING DEVICE - POSSESS,
3909,GAMBLING DEVICE - TRANSPORT,
3910,GAMBLING DEVICE - NOT REGISTERED,
3911,GAMBLING DEVICE,
3912,GAMBLING GOODS - POSSESS,
3913,GAMBLING GOODS - TRANSPORT,
3914,GAMBLING GOODS,
3915,LOTTERY - OPERATING,
3916,LOTTERY - RUNNER,
3918,LOTTERY,
3919,SPORTS TAMPERING,
3920,TRANSMIT WAGER INFORMATION,
3921,ESTABLISH GAMBLING PLACE,
3999,GAMBLING,
4001,KEEPING HOUSE ILL FAME,
4002,PROCURE FOR PROSTITUTE (PIMPING),
4003,COMMERCIAL SEX - HOMOSEXUAL PROSTITUTION,
4004,PROSTITUTION,
4005,FREQUENT HOUSE ILL FAME,
4006,TRNSP FEMALE INTERSTATE FOR IMMORAL PURP,
4007,PROCURE FOR PROSTITUTE WHO IS A MINOR,
4008,PROCURE FOR PROSTITUTE WHO IS AN ADULT,
4009,TRANSPORT INTERSTATE FOR COMMERCIALIZED SEX,​
4099,COMMERCIAL SEX,
4101,LIQUOR - MFR,
4102,LIQUOR - SELL,
4103,LIQUOR - TRANSPORT,
4104,LIQUOR - POSSESS,
4199,LIQUOR,
4801,RESISTING OFFICER,
4802,OBSTRUCT CRIMINAL INVEST,
4803,MAKING FALSE REPORT,
4804,EVIDENCE - DESTROYING,
4805,WITNESS - DISSUADING,
4806,WITNESS - DECEIVING,
4807,REFUSING TO AID OFFICER,
4808,COMPOUNDING CRIME,
4809,UNAUTH COMMUNICATION WITH PRISONER,
4810,ILLEGAL ARREST,
4811,CROSSING POLICE LINES,
4812,FAILURE REPORT CRIME,
4813,FAILURE TO MOVE ON,
4899,OBSTRUCT POLICE,
4901,ESCAPE - (IDENTIFY INSTITUTION),
4902,"FLIGHT TO AVOID – (PROSECUTION, CONFINEMENT, ETC)",
4903,AIDING PRISONER ESCAPE (IDENTIFY INSTITUTION),
4904,HARBORING ESCAPE/FUGITIVE,
4999,FLIGHT-ESCAPE,
5001,BAIL - SECURED BOND,
5002,BAIL - PERSONAL RECOG,
5003,PERJURY,
5004,PERJURY - SUBORNATION OF,
5005,CONTEMPT OF COURT,
5006,OBSTRUCTING JUSTICE,
5007,OBSTRUCTING COURT ORDER,
5008,MISCONDUCT - JUDIC OFFICER,
5009,CONTEMPT OF CONGRESS,
5010,CONTEMPT OF LEGISLATURE,
5011,PAROLE VIOLATION,See NOTE in GN 02613.900A.1. for additional information about processing this offense code.
5012,PROBATION VIOLATION,See NOTE in GN 02613.900A.1. for additional information about processing this offense code.
5013,CONDIT RELEASE VIOLATION,
5014,MANDATORY RELEASE VIOLATION,
5015,FAILURE TO APPEAR,
5016,VIOLATION OF A COURT ORDER,
5099,OBSTRUCT - (SPECIFY),
5101,BRIBE - GIVING,
5102,BRIBE - OFFERING,
5103,BRIBE - RECEIVING,
5104,BRIBE,
5105,CONFLICT OF INTEREST,
5106,GRATUITY - GIVING,
5107,GRATUITY - OFFERING,
5108,GRATUITY - RECEIVING,
5109,GRATUITY,
5110,KICKBACK - GIVING,
5111,KICKBACK - OFFERING,
5112,KICKBACK - RECEIVING,
5113,KICKBACK,
5199,BRIBERY,
5201,ALTERING IDENTIFICATION ON WEAPON,
5202,CARRYING CONCEALED WEAPON,
5203,CARRYING PROHIBITED WEAPON,
5204,EXPLOSIVES - TEACHING USE,
5205,EXPLOSIVES - TRANSPORTING,
5206,EXPLOSIVES - USING,
5207,INCENDIARY DEVICE - POSSESS,
5208,INCENDIARY DEVICE - USING,
5209,INCENDIARY DEVICE -TEACHING USE,
5210,LICENSING - REGISTRATION WEAPON,
5211,EXPLOSIVES - POSSESSING,
5212,POSSESSION OF WEAPON,
5213,FIRING WEAPON,
5214,SELLING WEAPON,
5215,THREAT TO BOMB,V
5216,THREAT TO BURN,V
5217,WEAPON TRAFFICKING,
5299,WEAPON OFFENSE,
5301,ANARCHISM,
5302,RIOT - INCITING,
5303,RIOT - ENGAGING IN,
5304,RIOT - INTERFERE FIREMAN,
5305,RIOT - INTERFERE OFFICER,
5306,RIOT,
5307,ASSEMBLY - UNLAWFUL,
5309,HARASSING COMMUNICATION,
5310,DESECRATING FLAG,
5311,DISORD CONDUCT,
5399,PUBLIC PEACE,
5401,HIT AND RUN,
5402,TRANSP-DANGEROUS MATERIAL,
5404,DRIVING UNDER INFLUENCE LIQUOR,
5499,TRAFFIC OFFENSE,
5501,DRUGS - ADULTERATED,
5502,DRUGS - MISBRANDED,
5503,DRUGS - HEALTH OR SAFETY,
5510,FOOD - ADULTERATED,
5511,FOOD - MISBRANDED,
5512,FOOD - HEALTH OR SAFETY,
5520,COSMETICS - ADULTERATED,
5521,COSMETICS - MISBRANDED,
5522,COSMETICS - HEALTH OR SAFETY,
5599*,HEALTH - SAFETY,
5699,CIVIL RIGHTS,
5701,DIVULGE EAVESDROP INFO,
5702,DIVULGE EAVESDROP ORDER,
5703,DIVULGE MESSAGE CONTENTS,
5704,EAVESDROPPING,
5705,EAVESDROP EQUIP,
5706,OPENING SEALED COMMUNICATION,
5707,TRESPASSING,
5708,WIRETAP - FAILURE TO REPORT,
5799,INVADE PRIVACY,
5801,SMUGGLE CONTRABAND,
5802,SMUGGLE CONTRABAND INTO PRISON,
5803,SMUGGLE TO AVOID PAYING DUTY,
5899,SMUGGLING,
5999,ELECTION LAWS,
6099,ANTITRUST,
6101,INCOME TAX,
6102,SALES TAX,
6103,LIQUOR TAX,
6110,MONEY LAUDERING (IF TAX BASED),
6199,TAX REVENUE,
6201,CONSERVATION -ANIMALS,
6202,CONSERVATION - FISH,
6203,CONSERVATION - BIRDS,
6204,CONSERVATION - LICENSE-STAMP,
6205,CONSERVATION - ENVIRONMENT,
6299,CONSERVATION,
6300,MONEY LAUNDERING,
6401,SEXUAL EXPLOITATION OF MINOR - MATERIAL TRANSPORT,​
6402,SEXUAL EXPLOITATION OF MINOR - MATERIAL PHOTOGRAPH,​
6403,SEXUAL EXPLOITATION OF MINOR - MATERIAL FILM,​
6404,SEXUAL EXPLOITATION OF MINOR - EXIBITION OF MINOR,​
6405,SEXUAL EXPLOITATION OF MINOR - SEX PERFORMANCE,​
6406,SEXUAL EXPLOITATION OF MINOR - VIA TELECOMMUNICATIONS,​
6407,SEXUAL EXPLOITATION OF MINOR - PROSTITUTION,​
6408,ENTICEMENT OF MINOR FOR INDECENT PURPOSES - VA TELECOMMUNICATIONS,​
6409,ENTICEMENT OF MINOR FOR PROSTITUTION,​
6410,ENTICEMENT OF MINOR FOR INDECENT PURPOSES,​
6499,EXPLOITATION/ENTICEMENT,​
7099,CRIMES AGAINST PERSON – (SPECIFY),
7199,PROPERTY CRIMES - (SPECIFY),
7299,MORALS - DECENCY CRIMES - (SPECIFY),
7399,PUBLIC ORDER CRIMES - (SPECIFY),
8003,SUBJECT IS A DEPORTED,
8100,JUVENILE OFFENDERS  ESCAPE FROM CUSTODY,
8101,JUVENILE OFFENDERS  ABSCOND WHILE ON PAROLE,
8102,JUVENILE OFFENDERS  ABSCOND WHILE ON PROBATION,
