Departure Country,Citizenship Country,Count
TURKIYE,BELARUS,3
BELIZE,GUATEMALA,3
CUBA,EL SALVADOR,3
MEXICO,COSTA RICA,3
HONDURAS,SPAIN,2
MEXICO,VIETNAM,2
JAPAN,INDONESIA,2
SOUTH KOREA,CAMBODIA,2
FRANCE,ROMANIA,2
SLOVAKIA,EL SALVADOR,2
NICARAGUA,NIGERIA,2
MAURITIUS,MAURITANIA,2
MOROCCO,SENEGAL,2
NEPAL,MEXICO,2
FRANCE,GUINEA,2
SERBIA,RUSSIA,2
JORDAN,UNKNOWN,2
GERMANY,NIGERIA,2
INDIA,TURKIYE,2
GERMANY,UNITED KINGDOM,2
QATAR,PAKISTAN,2
INDIA,BANGLADESH,2
PORTUGAL,VENEZUELA,2
PERU,VENEZUELA,2
GUINEA,GUATEMALA,2
GUINEA,EQUATORIAL GUINEA,2
PERU,HONDURAS,2
HONDURAS,ECUADOR,2
NICARAGUA,VENEZUELA,2
GUATEMALA,NICARAGUA,2
QATAR,MAURITANIA,2
PERU,ECUADOR,2
KYRGYZSTAN,KAZAKHSTAN,2
POLAND,GEORGIA,2
GUATEMALA,ECUADOR,2
GUATEMALA,BELIZE,2
PERU,BRAZIL,2
QATAR,KAZAKHSTAN,2
HONDURAS,PERU,2
VIETNAM,LAOS,2
ECUADOR,MEXICO,2
THAILAND,CAMBODIA,2
ECUADOR,GUATEMALA,2
UNKNOWN,CUBA,2
ECUADOR,COLOMBIA,2
SPAIN,NICARAGUA,2
DOMINICAN REPUBLIC,MEXICO,2
DOMINICAN REPUBLIC,GUATEMALA,2
DOMINICAN REPUBLIC,COLOMBIA,2
DOMINICAN REPUBLIC,CHILE,2
CANADA,BANGLADESH,2
DEM REP OF THE CONGO,DOMINICAN REPUBLIC,2
CZECH REPUBLIC,CZECHOSLOVAKIA,2
CURACAO,NETHERLANDS,2
CANADA,CHILE,2
CANADA,CONGO,2
TRINIDAD AND TOBAGO,VENEZUELA,2
SPAIN,ECUADOR,2
COSTA RICA,GHANA,2
COSTA RICA,ANGOLA,2
TURKIYE,AZERBAIJAN,2
COLOMBIA,SPAIN,2
CANADA,IRAN,2
CANADA,IRAQ,2
COLOMBIA,CHILE,2
CANADA,JORDAN,2
CANADA,KENYA,2
CHILE,ECUADOR,2
TURKIYE,KAZAKHSTAN,2
CANADA,ZIMBABWE,2
TURKIYE,MOLDOVA,2
TURKIYE,UZBEKISTAN,2
BRAZIL,DOMINICAN REPUBLIC,2
CANADA,ALBANIA,2
UNKNOWN,ECUADOR,2
UNKNOWN,RUSSIA,2
VENEZUELA,PERU,2
SOUTH SUDAN,BURMA,2
VENEZUELA,HONDURAS,2
SOUTH SUDAN,CUBA,2
ARABIAN PENINSULA,RUSSIA,2
ARGENTINA,VENEZUELA,2
CANADA,SENEGAL,2
UNKNOWN,INDIA,2
BOLIVIA,ARGENTINA,2
NICARAGUA,DOMINICAN REPUBLIC,1
UNITED ARAB EMIRATES,GRENADA,1
VANUATU,VENEZUELA,1
UNITED ARAB EMIRATES,SRI LANKA,1
UNKNOWN,KOREA,1
VENEZUELA,DOMINICAN REPUBLIC,1
PANAMA,ARGENTINA,1
NETHERLANDS,ITALY,1
NETHERLANDS,IRAN,1
UNITED ARAB EMIRATES,KYRGYZSTAN,1
NETHERLANDS,INDIA,1
UNKNOWN,"CHINA, PEOPLES REPUBLIC OF",1
NETHERLANDS,HONDURAS,1
UNKNOWN,AFGHANISTAN,1
PANAMA,DOMINICAN REPUBLIC,1
UNKNOWN,DEM REP OF THE CONGO,1
VENEZUELA,NICARAGUA,1
UNITED ARAB EMIRATES,EL SALVADOR,1
UNITED ARAB EMIRATES,AFGHANISTAN,1
NETHERLANDS,CZECHOSLOVAKIA,1
TURKIYE,VENEZUELA,1
UNKNOWN,DOMINICAN REPUBLIC,1
VENEZUELA,SPAIN,1
PANAMA,HAITI,1
TURKIYE,UNITED KINGDOM,1
UNITED ARAB EMIRATES,TAJIKISTAN,1
NETHERLANDS,KENYA,1
NETHERLANDS,ROMANIA,1
URUGUAY,MEXICO,1
UNKNOWN,LEBANON,1
UNITED KINGDOM,NICARAGUA,1
UNKNOWN,MAURITANIA,1
NICARAGUA,MEXICO,1
TURKIYE,SERBIA,1
UNKNOWN,BELIZE,1
UNKNOWN,TURKIYE,1
NICARAGUA,PERU,1
NICARAGUA,UNKNOWN,1
UNKNOWN,URUGUAY,1
UNITED KINGDOM,IRAN,1
NIGERIA,IRELAND,1
PAKISTAN,MEXICO,1
NIGERIA,NICARAGUA,1
UNITED KINGDOM,INDIA,1
NIGERIA,UNITED KINGDOM,1
NEW ZEALAND,NICARAGUA,1
NORTH KOREA,MEXICO,1
UZBEKISTAN,TURKIYE,1
UNITED KINGDOM,AUSTRIA,1
NETHERLANDS,TANZANIA,1
NICARAGUA,EL SALVADOR,1
PAKISTAN,ECUADOR,1
PAKISTAN,IRAN,1
OMAN,SAUDI ARABIA,1
SOUTH KOREA,"MICRONESIA, FEDERATED STATES OF",1
PANAMA,PARAGUAY,1
RUSSIA,INDIA,1
ROMANIA,CANADA,1
QATAR,ZAMBIA,1
QATAR,VIETNAM,1
QATAR,TURKIYE,1
SOUTH SUDAN,VIETNAM,1
QATAR,SYRIA,1
QATAR,SENEGAL,1
SPAIN,BOLIVIA,1
SPAIN,CUBA,1
SPAIN,DOMINICAN REPUBLIC,1
MOROCCO,GUINEA,1
SPAIN,HONDURAS,1
QATAR,MOROCCO,1
QATAR,KYRGYZSTAN,1
SPAIN,ITALY,1
RUSSIA,ARMENIA,1
RUSSIA,ROMANIA,1
TURKIYE,PAKISTAN,1
RUSSIA,UKRAINE,1
SOUTH KOREA,VIETNAM,1
SLOVAKIA,UNITED KINGDOM,1
SLOVAKIA,HONDURAS,1
SINT MAARTEN(DUTCH),NETHERLANDS,1
SINGAPORE,"CHINA, PEOPLES REPUBLIC OF",1
SERBIA,UNKNOWN,1
SERBIA,TURKIYE,1
SERBIA,SERBIA AND MONTENEGRO,1
SOUTH SUDAN,LAOS,1
SOUTH SUDAN,MEXICO,1
SAUDI ARABIA,CANADA,1
SAINT MARTIN(FRENCH),SINT MAARTEN(DUTCH),1
SAINT MARTIN(FRENCH),NETHERLANDS,1
RWANDA,IRAQ,1
SOUTH SUDAN,SUDAN,1
QATAR,JORDAN,1
QATAR,IRAQ,1
QATAR,INDONESIA,1
SPAIN,PORTUGAL,1
PORTUGAL,ECUADOR,1
TURKIYE,AFGHANISTAN,1
TURKIYE,ALBANIA,1
POLAND,ROMANIA,1
POLAND,MOLDOVA,1
TURKIYE,BRAZIL,1
TURKIYE,CUBA,1
POLAND,ARMENIA,1
TURKIYE,CZECH REPUBLIC,1
SOUTH KOREA,PHILIPPINES,1
TURKIYE,IRAN,1
PERU,NICARAGUA,1
TURKIYE,MAURITANIA,1
TURKIYE,MONGOLIA,1
PERU,BOLIVIA,1
TAIWAN,VIETNAM,1
SYRIA,VENEZUELA,1
SWITZERLAND,YUGOSLAVIA,1
SUDAN,SOUTH SUDAN,1
SPAIN,ROMANIA,1
SPAIN,SENEGAL,1
ST. HELENA,SPAIN,1
QATAR,HONDURAS,1
QATAR,GHANA,1
SUDAN,ETHIOPIA,1
QATAR,BURMA,1
PORTUGAL,INDIA,1
QATAR,BANGLADESH,1
SWEDEN,ITALY,1
SWEDEN,LATVIA,1
PORTUGAL,MOROCCO,1
PORTUGAL,ITALY,1
SWITZERLAND,ROMANIA,1
TURKIYE,FRANCE,1
AFGHANISTAN,BRAZIL,1
MOROCCO,GHANA,1
"CHINA, PEOPLES REPUBLIC OF",ECUADOR,1
CROATIA,NICARAGUA,1
COSTA RICA,YEMEN,1
COSTA RICA,TAJIKISTAN,1
COSTA RICA,PAKISTAN,1
COSTA RICA,NEPAL,1
CONGO,SOUTH SUDAN,1
CONGO,RUSSIA,1
COLOMBIA,PANAMA,1
COLOMBIA,GEORGIA,1
"CHINA, PEOPLES REPUBLIC OF",KOREA,1
"CHINA, PEOPLES REPUBLIC OF",HONG KONG,1
"CHINA, PEOPLES REPUBLIC OF",CHILE,1
CUBA,ECUADOR,1
CHILE,"CHINA, PEOPLES REPUBLIC OF",1
CENTRAL AFRICAN REPUBLIC,VENEZUELA,1
CAPE VERDE,ANGOLA,1
CANADA,UNKNOWN,1
CANADA,UNITED KINGDOM,1
CANADA,TAJIKISTAN,1
CANADA,TAIWAN,1
CANADA,ST. LUCIA,1
CANADA,RUSSIA,1
CANADA,NICARAGUA,1
CANADA,NEPAL,1
CUBA,COLOMBIA,1
CUBA,HONDURAS,1
CANADA,MALI,1
ECUADOR,EL SALVADOR,1
ESWATINI,CUBA,1
EL SALVADOR,PANAMA,1
EL SALVADOR,CUBA,1
EGYPT,NIGERIA,1
EGYPT,GHANA,1
ECUADOR,VENEZUELA,1
ECUADOR,SPAIN,1
ECUADOR,PERU,1
ECUADOR,PANAMA,1
ECUADOR,NICARAGUA,1
ECUADOR,JAMAICA,1
ECUADOR,CHILE,1
CUBA,NICARAGUA,1
DOMINICAN REPUBLIC,HONDURAS,1
DOMINICAN REPUBLIC,HAITI,1
DOMINICAN REPUBLIC,EL SALVADOR,1
DOMINICAN REPUBLIC,ECUADOR,1
DOMINICAN REPUBLIC,"CHINA, PEOPLES REPUBLIC OF",1
DOMINICA,BAHAMAS,1
DENMARK,ROMANIA,1
CZECH REPUBLIC,UKRAINE,1
CZECH REPUBLIC,DOMINICAN REPUBLIC,1
CYPRUS,ISRAEL,1
CUBA,SPAIN,1
CANADA,MAURITANIA,1
CANADA,LITHUANIA,1
ESWATINI,LAOS,1
ARUBA,ISRAEL,1
BELGIUM,UKRAINE,1
BELGIUM,SPAIN,1
BELGIUM,"CHINA, PEOPLES REPUBLIC OF",1
BELGIUM,CAMEROON,1
BELGIUM,BARBADOS,1
BELGIUM,AFGHANISTAN,1
BANGLADESH,NEPAL,1
AUSTRIA,YEMEN,1
AUSTRIA,ROMANIA,1
AUSTRIA,MONTENEGRO,1
AUSTRIA,KOSOVO,1
ARMENIA,KAZAKHSTAN,1
BOLIVIA,CUBA,1
ARMENIA,ISRAEL,1
ARGENTINA,EL SALVADOR,1
ARGENTINA,CUBA,1
ARGENTINA,CHILE,1
ARGENTINA,ARMENIA,1
ARABIAN PENINSULA,KYRGYZSTAN,1
ANTIGUA-BARBUDA,JAMAICA,1
ANGUILLA,MEXICO,1
ANGOLA,GHANA,1
ALGERIA,ALBANIA,1
AFGHANISTAN,RUSSIA,1
BELGIUM,UNKNOWN,1
BOLIVIA,JORDAN,1
CANADA,LIBYA,1
CANADA,AZERBAIJAN,1
CANADA,LIBERIA,1
CANADA,KOSOVO,1
CANADA,ISRAEL,1
CANADA,GHANA,1
CANADA,FRANCE,1
CANADA,ETHIOPIA,1
CANADA,EL SALVADOR,1
CANADA,EGYPT,1
CANADA,CAMBODIA,1
CANADA,BURKINA FASO,1
CANADA,BOLIVIA,1
BULGARIA,ROMANIA,1
BOSNIA-HERZEGOVINA,CROATIA,1
BULGARIA,CANADA,1
BRITISH VIRGIN ISLANDS,UNITED KINGDOM,1
BRAZIL,VENEZUELA,1
BRAZIL,PERU,1
BRAZIL,PARAGUAY,1
BRAZIL,ITALY,1
BRAZIL,HONDURAS,1
BRAZIL,EL SALVADOR,1
BRAZIL,COLOMBIA,1
BRAZIL,CANADA,1
BOSNIA-HERZEGOVINA,ROMANIA,1
ESWATINI,JAMAICA,1
ESWATINI,VIETNAM,1
MOROCCO,BELARUS,1
JAPAN,VIETNAM,1
LATVIA,HONDURAS,1
LAOS,MEXICO,1
KOSOVO,YUGOSLAVIA,1
KOSOVO,UNITED KINGDOM,1
KOSOVO,GERMANY,1
KENYA,VENEZUELA,1
KAZAKHSTAN,RUSSIA,1
KAZAKHSTAN,INDIA,1
JORDAN,NICARAGUA,1
JORDAN,IRAQ,1
JORDAN,EGYPT,1
JAMAICA,HONDURAS,1
LITHUANIA,COLOMBIA,1
JAMAICA,HAITI,1
IVORY COAST,BENIN,1
ITALY,VENEZUELA,1
ITALY,ROMANIA,1
ITALY,MOLDOVA,1
ITALY,ECUADOR,1
ITALY,CANADA,1
ITALY,BRAZIL,1
ISRAEL,UZBEKISTAN,1
ISRAEL,UNKNOWN,1
IRAN,TURKIYE,1
LATVIA,MEXICO,1
LITHUANIA,RUSSIA,1
IRAN,KAZAKHSTAN,1
MEXICO,INDIA,1
MONTENEGRO,YUGOSLAVIA,1
MOLDOVA,RUSSIA,1
"MICRONESIA, FEDERATED STATES OF",MEXICO,1
MEXICO,UZBEKISTAN,1
MEXICO,TURKIYE,1
MEXICO,TANZANIA,1
MEXICO,SIERRA LEONE,1
MEXICO,NEPAL,1
MEXICO,"MICRONESIA, FEDERATED STATES OF",1
MEXICO,LEBANON,1
MEXICO,JORDAN,1
MEXICO,GUADELOUPE,1
MACAU,MEXICO,1
MEXICO,GEORGIA,1
MEXICO,EGYPT,1
MEXICO,"CHINA, PEOPLES REPUBLIC OF",1
MEXICO,CHILE,1
MAURITANIA,MEXICO,1
MAURITANIA,MAURITIUS,1
MAURITANIA,MALI,1
MAURITANIA,IRAN,1
MAURITANIA,ANGOLA,1
MARSHALL ISLANDS,"MICRONESIA, FEDERATED STATES OF",1
MARSHALL ISLANDS,BELARUS,1
IRAN,MEXICO,1
AFGHANISTAN,MEXICO,1
ESWATINI,YEMEN,1
FRANCE,ITALY,1
GERMANY,BRAZIL,1
GERMANY,AFGHANISTAN,1
GEORGIA,RUSSIA,1
GABON,ROMANIA,1
GABON,GUATEMALA,1
FRANCE,TOGO,1
FRANCE,RUSSIA,1
FRANCE,NICARAGUA,1
FRANCE,MOROCCO,1
FRANCE,MOLDOVA,1
FRANCE,IVORY COAST,1
FRANCE,GEORGIA,1
GERMANY,GEORGIA,1
FRANCE,ARMENIA,1
FINLAND,SYRIA,1
FINLAND,JORDAN,1
FIJI,SAMOA,1
ETHIOPIA,TANZANIA,1
ETHIOPIA,IVORY COAST,1
ETHIOPIA,GUATEMALA,1
ETHIOPIA,CHAD,1
ETHIOPIA,CAMEROON,1
ETHIOPIA,BURKINA FASO,1
ETHIOPIA,ANGOLA,1
GERMANY,"CHINA, PEOPLES REPUBLIC OF",1
GERMANY,MOLDOVA,1
INDIA,BHUTAN,1
GUINEA,LAOS,1
ICELAND,VENEZUELA,1
HONG KONG,MONGOLIA,1
HONG KONG,HONDURAS,1
HONDURAS,GHANA,1
HONDURAS,BELIZE,1
HAITI,TURKS AND CAICOS ISLANDS,1
HAITI,ST. KITTS-NEVIS,1
HAITI,BELIZE,1
GUYANA,BRAZIL,1
GUINEA-BISSAU,HONDURAS,1
GUINEA,SIERRA LEONE,1
GUATEMALA,VENEZUELA,1
GERMANY,POLAND,1
GUATEMALA,SPAIN,1
GUATEMALA,SOUTH KOREA,1
GUATEMALA,BRAZIL,1
GUATEMALA,AFGHANISTAN,1
GREECE,GEORGIA,1
GREECE,BRAZIL,1
GHANA,NIGERIA,1
GHANA,AUSTRIA,1
GERMANY,UNKNOWN,1
GERMANY,UKRAINE,1
GERMANY,TURKIYE,1
INDIA,GUATEMALA,1
