apprehension_date,apprehension_state,apprehension_aor,location
2023-09-01,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,New Orleans Area of Responsibility,New Orleans
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Salt Lake City Area of Responsibility,Salt Lake City
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,IOWA,St. Paul Area of Responsibility,St. Paul
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,OHIO,Detroit Area of Responsibility,Detroit
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,WISCONSIN,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,,San Antonio Area of Responsibility,San Antonio
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,COLORADO,Denver Area of Responsibility,Denver
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,MICHIGAN,Detroit Area of Responsibility,Detroit
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,VIRGINIA,Washington Area of Responsibility,Washington
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,COLORADO,Denver Area of Responsibility,Denver
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,New Orleans Area of Responsibility,New Orleans
2023-09-01,ALABAMA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Chicago Area of Responsibility,Chicago
2023-09-01,MINNESOTA,St. Paul Area of Responsibility,St. Paul
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,KENTUCKY,Chicago Area of Responsibility,Chicago
2023-09-01,,El Paso Area of Responsibility,El Paso
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,ALABAMA,New Orleans Area of Responsibility,New Orleans
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,,#VALUE!
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,ALABAMA,New Orleans Area of Responsibility,New Orleans
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,Chicago Area of Responsibility,Chicago
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,Boston Area of Responsibility,Boston
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,OHIO,Detroit Area of Responsibility,Detroit
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,NEBRASKA,St. Paul Area of Responsibility,St. Paul
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,KENTUCKY,Chicago Area of Responsibility,Chicago
2023-09-01,MASSACHUSETTS,Boston Area of Responsibility,Boston
2023-09-01,WISCONSIN,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,KANSAS,Chicago Area of Responsibility,Chicago
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,,Harlingen Area of Responsibility,Harlingen
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,ILLINOIS,Chicago Area of Responsibility,Chicago
2023-09-01,,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,WEST VIRGINIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,WISCONSIN,Chicago Area of Responsibility,Chicago
2023-09-01,,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,CONNECTICUT,Boston Area of Responsibility,Boston
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,WEST VIRGINIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,WEST VIRGINIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,WEST VIRGINIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,MISSOURI,Chicago Area of Responsibility,Chicago
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,COLORADO,Denver Area of Responsibility,Denver
2023-09-01,MASSACHUSETTS,Boston Area of Responsibility,Boston
2023-09-01,ALABAMA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,MASSACHUSETTS,Boston Area of Responsibility,Boston
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,ARKANSAS,New Orleans Area of Responsibility,New Orleans
2023-09-01,WISCONSIN,Chicago Area of Responsibility,Chicago
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Chicago Area of Responsibility,Chicago
2023-09-01,ARIZONA,Phoenix Area of Responsibility,Phoenix
2023-09-01,MINNESOTA,St. Paul Area of Responsibility,St. Paul
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,RHODE ISLAND,Boston Area of Responsibility,Boston
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,VIRGINIA,Washington Area of Responsibility,Washington
2023-09-01,ILLINOIS,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,,#VALUE!
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Newark Area of Responsibility,Newark
2023-09-01,,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Newark Area of Responsibility,Newark
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,MASSACHUSETTS,Atlanta Area of Responsibility,Atlanta
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Seattle Area of Responsibility,Seattle
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,OKLAHOMA,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,OHIO,Detroit Area of Responsibility,Detroit
2023-09-01,INDIANA,Chicago Area of Responsibility,Chicago
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,MASSACHUSETTS,Boston Area of Responsibility,Boston
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,COLORADO,Denver Area of Responsibility,Denver
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Boston Area of Responsibility,Boston
2023-09-01,ARIZONA,Phoenix Area of Responsibility,Phoenix
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,OHIO,Detroit Area of Responsibility,Detroit
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Denver Area of Responsibility,Denver
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,CALIFORNIA,San Diego Area of Responsibility,San Diego
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-01,,San Francisco Area of Responsibility,San Francisco
2023-09-01,VIRGINIA,Washington Area of Responsibility,Washington
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,MISSISSIPPI,New Orleans Area of Responsibility,New Orleans
2023-09-01,,Washington Area of Responsibility,Washington
2023-09-01,,,#VALUE!
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Atlanta Area of Responsibility,Atlanta
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,,#VALUE!
2023-09-01,NEW JERSEY,Newark Area of Responsibility,Newark
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,PENNSYLVANIA,Philadelphia Area of Responsibility,Philadelphia
2023-09-01,FLORIDA,Miami Area of Responsibility,Miami
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,MASSACHUSETTS,Boston Area of Responsibility,Boston
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,,,#VALUE!
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,,,#VALUE!
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-02,,Newark Area of Responsibility,Newark
2023-09-02,ARIZONA,,#VALUE!
2023-09-02,,Newark Area of Responsibility,Newark
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-02,TEXAS,Houston Area of Responsibility,Houston
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,,#VALUE!
2023-09-02,TEXAS,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,LOUISIANA,New Orleans Area of Responsibility,New Orleans
2023-09-02,TEXAS,Houston Area of Responsibility,Houston
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,,#VALUE!
2023-09-02,,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Houston Area of Responsibility,Houston
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,Houston Area of Responsibility,Houston
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Houston Area of Responsibility,Houston
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,,#VALUE!
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,NORTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-02,,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Miami Area of Responsibility,Miami
2023-09-02,,,#VALUE!
2023-09-02,,Philadelphia Area of Responsibility,Philadelphia
2023-09-02,,New Orleans Area of Responsibility,New Orleans
2023-09-02,TEXAS,Harlingen Area of Responsibility,Harlingen
2023-09-02,,Miami Area of Responsibility,Miami
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,FLORIDA,Miami Area of Responsibility,Miami
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-02,,,#VALUE!
2023-09-02,FLORIDA,Miami Area of Responsibility,Miami
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,San Diego Area of Responsibility,San Diego
2023-09-02,,Houston Area of Responsibility,Houston
2023-09-02,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-02,FLORIDA,Miami Area of Responsibility,Miami
2023-09-02,TEXAS,Houston Area of Responsibility,Houston
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
2023-09-02,,,#VALUE!
